target_id	target_line	target_page	target_phrase	witness_id	witness_line	witness_page	witness_phrase	selected_predicate
C734	3618	87	A derived type type-name shall not be DOUBLEPRECISION or the same as the name of any intrinsic type defined in this document.	C752	3842	92	If a coarray-spec appears, the component shall not be of type C_PTR or C_FUNPTR from the intrinsic module ISO_C_BINDING (18.2), or of type TEAM_TYPE from the intrinsic module ISO_FORTRAN_ENV (16.10.2).	(not (or (eq type-name DOUBLEPRECISION) (intrinsic-type-name type-name)))
C734	3618	87	A derived type type-name shall not be DOUBLEPRECISION or the same as the name of any intrinsic type defined in this document.	C824	5064	107	A coarray shall not be of type C_PTR or C_FUNPTR from the intrinsic module ISO_C_BINDING (18.3.2), or of type TEAM_TYPE from the intrinsic module ISO_FORTRAN_ENV (16.10.2.34).	(not (or (eq type-name DOUBLEPRECISION) (intrinsic-type-name type-name)))
C734	3618	87	A derived type type-name shall not be DOUBLEPRECISION or the same as the name of any intrinsic type defined in this document.	C952	6801	160	The declared type of source-expr shall not be C_PTR or C_FUNPTR from the intrinsic module ISO_C_BINDING, or TEAM_TYPE from the intrinsic module ISO_FORTRAN_ENV	(not (or (eq type-name DOUBLEPRECISION) (intrinsic-type-name type-name)))
