candidate	model	source_repo	file	active_params_b	reasoning_order	quantization_control
qwen35-4b	Qwen/Qwen3.5-4B	unsloth/Qwen3.5-4B-GGUF	Qwen3.5-4B-Q4_K_M.gguf	4	off,on-after-failure	Q4_K_M,Q6_K,Q8_0
qwen35-9b	Qwen/Qwen3.5-9B	unsloth/Qwen3.5-9B-GGUF	Qwen3.5-9B-Q4_K_M.gguf	9	off,on-after-failure	Q4_K_M,Q6_K,Q8_0
qwen36-35b-a3b	Qwen/Qwen3.6-35B-A3B	ggml-org/Qwen3.6-35B-A3B-GGUF	Qwen3.6-35B-A3B-Q4_K_M.gguf	3	off,on-after-failure	Q4_K_M
qwen36-27b	Qwen/Qwen3.6-27B	ggml-org/Qwen3.6-27B-GGUF	Qwen3.6-27B-Q4_K_M.gguf	27	off,on-after-failure	Q4_K_M
gemma4-e2b	google/gemma-4-E2B-it	unsloth/gemma-4-E2B-it-GGUF	gemma-4-E2B-it-Q4_K_M.gguf	2	off,on-after-failure	Q4_K_M,Q6_K,Q8_0
gemma4-e4b	google/gemma-4-E4B-it	unsloth/gemma-4-E4B-it-GGUF	gemma-4-E4B-it-Q4_K_M.gguf	4	off,on-after-failure	Q4_K_M,Q6_K,Q8_0
gemma4-26b-a4b	google/gemma-4-26B-A4B-it	unsloth/gemma-4-26B-A4B-it-GGUF	gemma-4-26B-A4B-it-UD-Q4_K_M.gguf	4	off,on-after-failure	Q4_K_M
gemma4-31b	google/gemma-4-31B-it	unsloth/gemma-4-31B-it-GGUF	gemma-4-31B-it-Q4_K_M.gguf	31	off,on-after-failure	Q4_K_M
